case_id,diagnosis_root_cause,true_label
8262,local,remote
8263,local,local
8269,local,local
8273,local,local
8277,local,local
8278,local,remote
8285,local,remote
8293,fiber,remote
8298,local,local
8299,local,local
8301,local,remote
8312,local,remote
8316,local,local
8317,local,remote
8319,local,local
8322,fiber,remote
8324,fiber,remote
8331,local,local
8342,local,local
8349,fiber,remote
8352,local,remote
8355,local,local
8373,local,local
8385,fiber,local
8404,local,local
8405,local,local
8417,local,remote
8428,fiber,remote
8438,local,remote
8440,local,local
8441,local,remote
8442,local,remote
8443,local,local
8446,local,remote
8452,fiber,remote
8457,local,remote
8478,local,local
8489,local,remote
849,local,remote
8490,local,local
8492,local,local
8496,local,remote
8497,local,remote
850,local,remote
8506,fiber,local
8519,local,remote
853,fiber,remote
8531,local,local
8535,local,local
855,fiber,local
856,local,local
8561,local,local
8562,local,local
8563,local,local
8567,local,remote
8575,local,local
8581,local,remote
8587,local,local
8596,local,remote
8607,local,local
8611,local,local
8639,local,local
8640,local,local
8658,local,local
866,fiber,fiber
8674,local,local
8685,fiber,local
8699,local,local
87,fiber,remote
8702,local,remote
8703,local,remote
8735,local,remote
8738,local,local
874,local,local
8752,local,remote
8754,local,remote
8762,local,remote
878,fiber,fiber
8781,local,local
8782,local,remote
8793,local,remote
8794,local,local
8795,local,local
8797,local,remote
88,fiber,local
8833,local,local
8841,local,remote
8867,local,remote
8887,local,remote
8888,local,remote
8896,local,remote
8900,local,remote
8905,local,local
8910,fiber,remote
8916,local,remote
8918,local,remote
8933,fiber,remote
8956,fiber,local
897,local,local
9012,local,local
9044,fiber,local
9051,local,local
9073,local,local
9084,local,remote
9085,local,remote
9089,local,local
9091,local,local
91,local,local
9100,local,remote
9119,local,local
9134,local,remote
9154,local,local
9164,local,local
9203,local,remote
9236,local,local
9254,local,remote
9272,local,local
9273,local,remote
9283,fiber,fiber
9294,fiber,local
9301,local,local
9316,local,local
9317,local,remote
9327,local,local
9334,local,remote
9358,local,remote
9369,local,remote
937,local,remote
9370,local,remote
9371,local,local
9375,local,local
9383,local,remote
9385,fiber,local
9388,local,local
9397,fiber,local
9398,local,local
9399,local,local
940,local,local
9408,local,remote
9409,fiber,remote
9424,local,local
9434,local,remote
9438,fiber,remote
9446,local,local
9483,local,local
9521,fiber,local
9527,local,local
9541,local,local
9544,local,local
9593,local,remote
9596,local,local
9597,local,local
96,local,remote
9600,local,local
9612,local,local
9697,local,remote
970,local,remote
972,local,local
9741,local,remote
9742,local,remote
9781,local,remote
9783,local,remote
9797,local,local
9815,local,local
9824,local,remote
9835,local,local
9836,local,local
9839,local,local
9843,local,remote
9864,local,remote
9869,local,local
9870,local,local
9887,local,remote
9888,local,local
989,local,remote
9896,local,local
99,fiber,local
9935,local,local
9950,local,remote
9951,local,remote
9958,local,local
996,fiber,remote
9972,local,local
9982,local,local
alarm_01,local,remote
alarm_02,fiber,remote
alarm_03,local,local
alarm_04,local,remote
alarm_05,local,local
alarm_06,local,local
alarm_07,local,remote
alarm_10,fiber,local
alarm_11,local,local
alarm_12,local,fiber
alarm_13,fiber,remote
alarm_14,fiber,remote
alarm_16,local,local
alarm_17,local,remote
alarm_19,fiber,remote
alarm_21,local,fiber
alarm_23,local,local
alarm_24,fiber,fiber
alarm_28,fiber,local
alarm_29,fiber,fiber
alarm_30,fiber,remote
alarm_31,fiber,fiber
alarm_32,fiber,remote
alarm_33,local,remote
alarm_35,fiber,remote
alarm_36,local,local
alarm_37,fiber,remote
alarm_38,fiber,remote
alarm_39,fiber,remote
alarm_40,fiber,remote
alarm_41,fiber,remote
alarm_42,fiber,remote
alarm_43,fiber,local
alarm_45,fiber,fiber
alarm_46,fiber,remote
alarm_47,fiber,remote
alarm_48,fiber,remote
alarm_49,fiber,remote
alarm_50,fiber,local
alarm_51,fiber,local
alarm_54,local,local
alarm_55,fiber,local
alarm_56,local,local
alarm_58,fiber,remote
alarm_60,local,local
alarm_61,local,remote
alarm_62,local,remote
alarm_63,fiber,local
alarm_64,fiber,local
alarm_65,fiber,remote
alarm_66,fiber,remote
alarm_78,fiber,remote
alarm_79,remote,local
alarm_80,fiber,local
alarm_82,fiber,local
alarm_83,fiber,local
